Codigo;data_nascimento;genereo;cidade;setor;limite
000000;00-00-0000; ;Anápolis; ;0.00
097521;1983-06-27;F;Anápolis;CALDAS NOVAS;0.00
100559;1966-01-20;F;Anápolis;JAIARA;0.00
020883;1958-04-12;F;Anápolis;MARACANA;0.00
114509;1983-09-16;F;Anápolis;NOVO JUNDIAI;0.00
054245;1969-12-16;F;Anápolis;JAIARA;0.00
113311;1950-06-13;F;Anápolis;PARQUE IRACEMA;0.00
112261;1983-10-25;F;Anápolis;RESIDENCIAL VALE DO;0.00
027838;1962-05-08;F;Anápolis;ALEXANDRINA;0.00
026587;1978-10-19;F;Anápolis;SANTA ISABEL 1ª ETPA;0.00
102530;1971-09-15;F;Anápolis;CENTRO ANAPOLIS;0.00
093784;1945-11-06;F;Anápolis;SANTA ISABEL 1ª ETPA;0.00
056251;1980-10-28;F;Anápolis;ALEXANDRINA;0.00
046928;1952-03-03;F;Anápolis;SUNFLOWER RESIDENCIA;0.00
046064;1957-10-16;F;Anápolis;ALEXANDRINA;0.00
106432;1962-06-01;F;Anápolis;SAO LOURENCO;0.00
096102;1981-12-06;F;Anápolis;CENTRO ANAPOLIS;0.00
114049;1986-08-31;F;Anápolis;RECANTO DO SOL;0.00
055504;1943-04-20;F;Anápolis;ITAMARATY;0.00
093945;0000-00-00;F;Anápolis;DA LAPA;0.00
098988;1977-06-18;F;Anápolis;MARACANA;0.00
015716;1960-09-25;F;Anápolis;ALEXANDRINA;0.00
092827;1961-06-03;F;Anápolis;ADRIANA PARQUE;450.00
114085;1953-09-23;F;Anápolis;ALEXANDRINA;0.00
096113;1985-12-04;F;Anápolis;PARQUE DOS PIRINEUS;0.00
095748;1982-08-16;F;Anápolis;SAO LOURENCO;0.00
110986;1982-09-15;F;Anápolis;ALDEIA DOS SONHOS;0.00
091391;1951-03-16;F;Anápolis;JAIARA;0.00
018931;1962-03-12;F;Anápolis;ALEXANDRINA;0.00
044501;1960-04-29;F;Anápolis;MARACANA;0.00
100731;1964-04-03;M;Anápolis;JAIARA;0.00
062076;1975-08-20;F;Anápolis;ALEXANDRINA;0.00
094988;0000-00-00;F;Anápolis;ITAMARATY;0.00
098175;1969-09-15;F;Anápolis;SOUZANIA;0.00
039448;1974-06-14;F;Anápolis;JUNDIAI;0.00
098782;1981-01-17;F;Anápolis;BUGANVILLE;0.00
050034;1964-04-17;F;Anápolis;ALEXANDRINA;0.00
001266;1973-05-13;F;Anápolis;JARDIM PROGRESSO;0.00
036812;1954-10-23;F;Anápolis;TEREZOPOLIS;0.00
064202;1982-05-01;F;Anápolis;ITAMARATY;0.00
039331;1976-03-20;F;Anápolis;NOVA VILA;0.00
029814;1955-08-24;F;Anápolis;JARDIM DAS AMERICAS;0.00
091379;1971-09-06;F;Anápolis;JAIARA;0.00
118340;2015-05-13;F;Anápolis;VILA JUSSARA;0.00
058370;1971-09-11;F;Anápolis;JAIARA;0.00
105005;1959-12-31;M;Anápolis;SETOR SUL JAMIL MIGU;0.00
017686;1971-03-18;F;Anápolis;ALEXANDRINA;0.00
059082;1968-12-16;F;Anápolis;PARQUE IRACEMA;0.00
035145;1967-10-17;F;Anápolis;SANTA ISABEL 1ª ETPA;0.00
107495;0000-00-00;F;Anápolis;;0.00
096955;0000-00-00;F;Anápolis;BANDEIRAS;0.00
118863;1978-05-21;F;Anápolis;RECANTO DO SOL;0.00
099960;1970-11-02;F;Anápolis;RECANTO DO SOL;0.00
066779;1952-08-04;F;Anápolis;MARACANA;0.00
039802;1970-07-12;F;Anápolis;CIDADE UNIVERSITARIA;0.00
017408;1964-09-16;F;Anápolis;MARACANA;0.00
047149;1978-08-24;F;Anápolis;BAIRRO SAO JOSE;0.00
046166;1957-06-29;F;Anápolis;ALEXANDRINA;0.00
093842;1953-02-23;F;Anápolis;SETOR SUL;0.00
011484;1975-08-15;F;Anápolis;JAIARA;0.00
057765;1962-08-29;F;Anápolis;MARACANA;0.00
