codigo_produto;produto;secao;custo_atual;preco_atual;ncm
00004993;CANECA VIDRO BLACK HEART/COFFEE 280 ML LYOR;DIVERSOS;5.66;15.00;70134900
00001422;PORTA TRAVESSEIRO 200 FIOS VIDA BELA PROMOCIONAL KACYUMARA;CAPAS;15.06;54.00;63023100
00000961;CAMISAO ADULTO FEMININO ML MOLETINHO SONHART;PIJAMAS;104.90;209.00;61083100
00000233;LENCOL AVULSO CASAL FIX 100% ALGODAO TEKA HARMONIA;LENCOL AVULSO;21.10;57.00;63023100
00002861;CORTINA DUPLEX BELIZE/STILO 1.80/2.00 VOIL TRAB. ILHOS BELLA;CORTINA;73.55;147.00;63031900
00005944;CAPA P/GARRAFAO D`AGUA RENDA INTERLAR;CAPA;8.05;21.00;63049300
00000576;FRONHA AVULSA LISA PROFILINE TEKA/PINHEIRO;FRONHA;6.00;15.00;63023100
00005796;TOALHA MESA 1.60/1.60 LIMPA FACIL CLEAN PASSION DOHLER;TOALHA DE MESA;16.49;39.00;63025100
00001158;FRONHA AVULSA 0.50/.070 150 FIOS FLORENCA TEKA;FRONHA;5.00;10.50;63023100
00000274;TOALHA MESA 078/078 OURO A.S TEXTIL/DOHLER;TOALHA DE MESA;1.47;7.50;63025100
00005113;AVENTAL SORTIDO PVC ADOMES;DIVERSOS;3.80;9.00;63041910
00002862;AVENTAL DE COZINHA GORGURIM 0.55/0.65 TEKA;JOGO DE COZINHA;4.79;15.00;63041910
00003359;TRAVESSEIRO NASASOFT MACIO MEDIO/ALTO ALTENBURG;TRAVESSEIROS;79.69;167.00;94049000
00002854;FRONHA 0.50/0.70 PACT 02 UN MALHA FIO 30 PENTEADO VENESA;FRONHA;13.11;39.00;63021000
00001965;PROTETOR TRAVESSEIRO IMPERMEAVEL 200 FIOS TRISOFT;CAPAS;7.39;36.00;63023100
00004622;TOALHA MESA 1.40/2.10 100 % ALGODAO KARSTEN;TOALHA DE MESA;36.26;72.00;63025100
00002244;VARAO CORTINA 3 MTS 28 MM CORES  BELLA ARTE;CORTINA;13.18;69.00;73042990
00004343;TAPETE BRILHANTE 0.50/1.00 FIBRA CURTA BUCHARA;TAPETE;36.79;117.00;57033000
00004797;TAPETE BRILHANTE 1.40/2.00 E 1.50/2.00 FIBRA CURTA BUCHARA;TAPETE;251.81;598.00;57033000
00006124;TAPETE SAO CARLOS ECLETIK 2.00/2.50 SAO CARLOS;TAPETE;458.69;1596.00;57033000
00002020;MANTA QUEEN BLANKET/VINTAGE  KACYUMARA;MANTA TIPO COBERTOR;62.20;156.00;63014000
00003268;JOGO DE CAMA QUEEN 03 PÇS MALHA IN COTTON ALTENBURG;JOGO DE CAMA;76.01;183.00;63021000
00004883;SAIA BOX QUEEN 1.58/2.00 ANTIQUE COM RENDA 180 FIOS  HEDRONS;SAIA PARA COLCHAO;69.10;165.00;58042310
00003210;PANO DE PRATO 0.45/0.70 BARRADO MAIS VOCE JACQUARD DOHLER;PANO DE PRATO;5.43;15.00;63026000
00002210;PANO DE PRATO PONTO CRUZ C/ BARR. SEVI./VIGO DOHLER/TEKA;PANO DE PRATO;7.44;15.00;63026000
00000901;PANO DE PRATO AVULSO BORDADO PONTO CRUZ;PANO DE PRATO;9.00;19.50;63026000
00000330;TRAVESSA ALLEANZA;DIVERSOS;46.91;109.00;69120000
00000316;TAPETE COZINHA 03 PÇS VITRINE/GOURMET EMBORRACHADO JOLITEX;TAPETE;49.84;168.00;42050000
00005851;TAPETE FLORENCE 0.40/0.60 BUCHARA;TAPETE;13.00;33.00;57024200
00000174;TOALHA ROSTO PONTO CRUZ CRIATIVA TEKA;TOALHAS AVULSA;7.34;16.50;63026000
00002443;LENCOL AVULSO KING 300 FIOS KARSTEN/PINHEIRO;LENCOL AVULSO;72.00;179.00;63023100
00005265;ALMOFADA RETANGULAR 0.28/0.50 JACKARD MEDALAO ADOMES;ALMOFADA;9.40;19.50;63041990
