DATA;numero_venda;valor;cliente;vendedor;codigo_forma_pagamento
2019-11-30 15:16:03;0515137;203.30;0;136;01
2019-01-16 15:57:13;0481799;208.50;97521;075;11
2019-01-16 08:28:32;0481744;199.50;0;100;09
2019-01-16 15:54:35;0481797;111.15;0;100;10
2019-02-05 15:48:34;0483717;105.00;0;100;10
2019-02-27 08:47:56;0485609;648.00;100559;075;12
2019-02-27 09:05:10;0485612;1482.30;0;100;01
2019-02-27 09:12:39;0485614;389.60;0;100;10
2019-01-15 13:59:05;0481682;78.00;0;042;09
2019-01-15 14:39:23;0481686;522.00;0;042;09
2019-01-15 14:58:12;0481689;17.30;0;042;01
2019-02-27 09:25:16;0485617;98.40;20883;100;10
2019-02-27 09:29:16;0485619;148.20;0;100;01
2019-01-15 15:19:58;0481694;94.05;0;104;01
2019-01-15 15:20:03;0481695;39.90;0;104;01
2019-01-15 15:21:04;0481697;291.00;0;104;09
2019-01-15 16:31:27;0481711;261.00;114509;073;12
2019-01-15 15:24:09;0481700;138.00;0;104;09
2019-02-05 14:45:20;0483708;74.10;0;104;01
2019-01-15 16:35:59;0481713;107.00;0;100;01
2019-01-15 16:39:50;0481714;59.85;0;100;01
2019-01-15 17:02:09;0481721;459.00;0;100;09
2019-01-15 17:36:04;0481732;645.00;54245;100;09
2019-01-15 17:06:33;0481722;33.00;0;100;10
2019-02-05 15:41:04;0483711;405.00;113311;075;13
2019-02-05 15:38:02;0483710;531.00;112261;042;12
2019-01-15 17:29:45;0481729;792.00;0;100;09
2019-02-05 15:44:00;0483713;155.00;0;100;01
2019-02-27 09:38:35;0485621;295.20;0;100;09
2019-01-16 10:51:50;0481762;62.70;0;100;10
2019-01-15 18:14:33;0481739;715.05;0;100;10
2019-01-16 08:28:30;0481743;1022.73;27838;075;12
2019-01-16 10:54:49;0481764;2115.00;26587;075;07
2019-01-16 12:34:57;0481770;513.00;0;042;10
2019-01-16 13:25:08;0481772;229.30;0;042;09
2019-01-16 13:44:31;0481774;225.00;0;100;09
2019-01-16 13:48:19;0481775;80.70;0;100;01
2019-01-16 14:36:04;0481779;57.00;0;100;09
2019-01-16 14:36:28;0481780;741.00;102530;075;13
2019-01-16 14:42:57;0481782;29.80;0;100;10
2019-01-16 16:02:12;0481800;141.60;0;100;09
2019-01-16 14:58:37;0481785;51.30;0;100;01
2019-01-16 15:03:18;0481787;37.05;0;100;10
2019-01-16 15:07:38;0481789;378.00;0;100;09
2019-01-16 15:16:13;0481791;143.40;93784;100;09
2019-01-16 15:18:33;0481793;466.20;56251;100;09
2019-01-16 15:37:45;0481795;1132.88;46928;100;02
2019-02-05 15:46:20;0483715;255.60;46064;075;08
2019-02-27 09:52:34;0485624;62.40;0;100;01
2019-02-27 09:56:04;0485626;879.00;0;100;09
2019-02-27 10:16:12;0485628;198.00;106432;075;08
2019-02-27 10:24:43;0485631;319.20;0;104;10
2019-02-27 10:21:25;0485630;235.05;0;100;09
2019-02-27 11:21:25;0485636;76.95;0;100;01
2019-02-27 11:19:52;0485634;120.00;0;100;10
2019-02-27 11:39:32;0485638;381.90;0;104;10
2019-02-27 12:41:30;0485640;216.60;96102;075;12
2019-02-27 13:16:50;0485643;195.00;114049;075;11
2019-02-27 13:21:21;0485645;108.80;0;104;09
2019-02-27 13:58:44;0485649;295.04;0;104;01
2019-02-27 14:43:53;0485654;99.00;0;100;01
2019-02-27 15:31:56;0485666;48.00;113311;075;06
2019-02-27 15:38:31;0485667;633.60;0;100;01
2019-02-27 16:11:55;0485675;24.22;0;104;01
2019-02-27 15:43:11;0485670;110.25;0;100;09
2019-02-27 15:45:53;0485673;72.00;55504;100;01
2019-02-27 16:20:03;0485677;1727.32;93945;104;01
2019-02-27 16:26:40;0485678;1068.15;0;100;01
2019-02-27 16:53:06;0485681;124.80;98988;100;10
2019-02-27 16:54:06;0485682;844.50;98988;100;12
2019-02-27 17:16:04;0485685;189.60;0;100;01
2019-02-27 18:20:43;0485699;536.16;0;100;01
2019-02-27 17:36:01;0485688;1560.00;0;100;01
2019-02-27 17:42:47;0485693;465.00;0;100;09
2019-02-27 17:37:37;0485690;43.20;0;100;01
2019-02-27 18:04:20;0485695;307.35;15716;100;01
2019-02-27 18:13:21;0485697;247.20;0;100;09
2019-02-27 18:32:25;0485700;270.00;92827;100;09
2019-02-28 09:25:30;0485706;34.20;0;100;10
2019-02-28 08:25:05;0485704;85.35;0;100;10
2019-02-28 09:43:51;0485710;458.63;0;100;10
2019-02-28 10:38:41;0485726;198.00;0;100;09
2019-02-28 10:02:46;0485713;141.00;0;042;09
2019-02-28 10:03:23;0485714;135.00;114085;075;08
2019-02-28 10:30:01;0485722;27.00;0;100;10
2019-02-28 10:08:38;0485717;122.40;0;100;09
2019-02-28 10:10:40;0485718;85.49;0;100;10
2019-02-28 10:12:11;0485719;120.00;0;100;10
2019-02-28 10:45:14;0485728;174.00;96113;075;11
2019-02-28 11:27:17;0485730;98.50;0;100;09
2019-02-28 11:28:00;0485731;625.40;0;100;09
2019-02-28 14:36:59;0485757;14.25;0;100;01
2019-02-28 12:18:36;0485734;20.40;0;104;01
2019-03-02 10:51:24;0485981;1351.40;0;100;09
2019-02-28 13:38:49;0485739;629.99;0;100;09
2019-02-28 13:46:05;0485742;2.25;0;100;01
2019-02-28 13:54:08;0485745;59.85;0;104;01
2019-02-28 13:58:37;0485747;91.50;0;100;09
2019-02-28 14:00:16;0485748;2431.42;0;100;01
2019-02-28 14:17:29;0485751;117.60;0;100;09
2019-02-28 14:20:45;0485753;754.50;95748;042;12
2019-02-28 14:31:36;0485755;149.00;110986;042;08
2019-02-28 15:16:09;0485763;96.00;0;100;01
2019-02-28 16:34:51;0485777;42.75;0;100;01
2019-02-28 15:57:10;0485768;150.00;0;100;10
2019-02-28 16:07:53;0485770;53.20;0;100;10
2019-02-28 16:19:06;0485772;146.40;91391;100;09
2019-02-28 17:05:50;0485781;233.70;0;075;01
2019-02-28 16:26:14;0485775;98.00;18931;075;08
2019-02-28 17:21:29;0485783;33.60;0;100;01
2019-02-28 18:04:32;0485786;7.12;0;100;01
2019-02-28 18:06:30;0485788;86.40;0;100;09
2019-03-01 08:25:49;0485792;108.30;44501;100;10
2019-03-01 08:27:12;0485793;96.90;0;100;10
2019-03-01 08:32:12;0485795;99.00;0;100;01
2019-03-01 09:28:42;0485799;140.00;0;100;10
2019-03-01 09:32:38;0485801;250.00;0;100;10
2019-03-01 10:27:04;0485818;351.00;100731;100;09
2019-03-01 10:24:36;0485814;330.00;100731;042;12
2019-03-01 10:47:38;0485836;220.50;0;042;09
2019-03-01 10:47:48;0485837;118.50;0;042;10
2019-03-01 11:15:30;0485846;465.00;62076;075;08
2019-02-05 15:50:47;0483719;482.20;94988;104;09
2019-02-05 16:14:01;0483721;152.60;0;100;01
2019-02-05 16:30:26;0483723;717.00;0;100;09
2019-02-05 17:08:39;0483727;140.40;0;100;09
2019-02-05 18:07:56;0483737;153.00;98175;075;08
2019-02-05 17:20:31;0483730;279.00;0;100;09
2019-02-05 17:46:04;0483732;485.00;39448;075;13
2019-02-05 18:18:43;0483739;1337.30;0;100;09
2019-02-06 09:19:44;0483752;24.22;0;100;10
2019-02-06 09:25:05;0483754;67.79;0;100;01
2019-02-06 10:10:50;0483756;699.00;98782;075;11
2019-02-06 10:56:40;0483761;25.65;0;100;01
2019-02-06 10:59:59;0483764;648.00;50034;075;06
2019-02-06 11:19:34;0483766;45.60;0;100;01
2019-02-06 11:38:26;0483769;79.60;0;100;01
2019-02-06 11:53:45;0483772;126.00;0;104;09
2019-02-06 12:24:56;0483777;329.00;0;104;09
2019-02-06 11:54:40;0483774;160.50;1266;075;11
2019-02-06 12:35:08;0483779;381.00;0;104;09
2019-02-06 13:15:19;0483782;31.80;0;104;09
2019-02-06 16:06:00;0483802;336.00;36812;075;12
2019-02-06 14:56:04;0483791;1462.00;0;100;09
2019-02-06 13:52:39;0483787;156.75;0;100;10
2019-02-06 15:03:38;0483794;369.60;0;100;09
2019-02-06 15:07:59;0483795;180.00;0;100;09
2019-02-06 16:03:21;0483801;70.00;64202;100;10
2019-02-06 15:32:12;0483798;168.00;39331;075;11
2019-02-06 16:19:49;0483805;172.50;29814;100;08
2019-02-06 16:21:00;0483806;384.00;0;100;09
2019-02-06 16:48:08;0483810;399.47;0;100;09
2019-02-06 16:48:44;0483811;108.30;0;100;10
2019-02-06 16:49:33;0483813;744.00;0;100;09
2019-02-06 17:29:14;0483819;487.10;0;100;09
2019-02-06 17:55:06;0483823;401.40;0;100;09
2019-02-06 17:57:06;0483824;108.00;0;100;09
2019-02-06 17:57:29;0483825;369.00;91379;075;07
2019-02-06 18:07:38;0483828;901.90;0;100;09
2019-02-06 18:21:11;0483830;66.00;0;100;09
2019-02-07 08:11:04;0483832;7.20;0;100;01
2019-02-07 09:43:40;0483840;78.00;0;100;10
2019-02-07 09:34:28;0483837;84.00;0;100;09
2019-02-07 09:49:54;0483842;18.00;0;100;01
2019-02-07 09:51:46;0483845;43.20;0;104;10
2019-02-07 11:06:25;0483858;885.00;118340;075;07
2019-02-07 09:57:15;0483849;54.15;0;104;01
2019-02-07 11:13:39;0483859;113.60;0;100;01
2019-02-07 15:28:38;0483885;199.80;0;100;10
2019-02-07 11:05:47;0483857;39.00;0;100;09
2019-02-07 13:20:46;0483862;399.99;0;139;01
2019-02-07 13:21:19;0483863;15.90;0;139;01
2019-02-08 12:24:54;0483942;111.60;58370;104;09
2019-02-08 10:49:16;0483928;25.00;55504;104;01
2019-02-07 13:58:58;0483867;140.79;0;100;10
2019-02-07 14:00:18;0483868;23.94;0;100;01
2019-02-07 14:10:25;0483871;267.00;0;104;09
2019-02-07 14:38:55;0483875;535.17;0;100;09
2019-02-07 14:58:24;0483879;147.00;0;100;09
2019-02-07 16:38:56;0483898;94.75;0;104;10
2019-02-08 11:58:51;0483939;230.37;0;104;10
2019-02-07 15:23:47;0483884;840.00;112261;100;13
2019-02-07 17:04:24;0483904;116.90;0;100;10
2019-02-07 15:29:01;0483887;177.00;0;100;09
2019-02-07 16:10:30;0483895;261.60;0;104;09
2019-02-08 09:28:05;0483914;47.02;0;100;01
2019-02-07 17:38:16;0483908;211.50;0;100;09
2019-02-07 17:03:37;0483903;74.83;0;100;10
2019-02-07 18:47:42;0483910;920.85;0;100;01
2019-02-08 09:39:52;0483916;76.95;0;100;01
2019-02-08 10:01:07;0483918;7.20;105005;134;01
2019-02-08 10:11:47;0483920;78.37;0;100;01
2019-02-08 10:27:36;0483923;133.70;0;100;01
2019-02-08 11:29:06;0483931;25.65;0;104;09
2019-02-08 11:32:07;0483933;212.70;0;104;09
2019-02-08 11:33:17;0483934;34.20;0;104;09
2019-02-08 11:38:57;0483935;78.45;0;104;01
2019-02-08 11:40:58;0483936;71.20;0;104;01
2019-02-08 11:42:30;0483937;66.00;17686;075;07
2019-02-08 13:25:12;0483945;219.70;0;104;09
2019-02-08 13:28:53;0483946;135.00;59082;075;08
2019-02-08 15:26:01;0483962;334.50;0;100;01
2019-02-08 14:25:05;0483953;74.10;0;104;01
2019-02-08 14:54:29;0483955;1098.00;35145;075;06
2019-02-08 14:54:33;0483956;201.60;0;100;09
2019-02-08 15:30:35;0483964;2998.00;107495;104;01
2019-02-08 15:03:49;0483959;436.80;35145;100;09
2019-02-08 15:30:20;0483965;164.40;0;100;01
2019-02-08 15:53:31;0483968;69.45;0;100;10
2019-02-08 16:31:24;0483971;1067.40;0;104;09
2019-02-08 16:41:20;0483972;123.00;96955;104;09
2019-02-08 16:46:33;0483974;485.50;0;104;09
2019-02-08 17:35:10;0483981;81.00;118863;075;07
2019-02-08 17:02:58;0483979;37.04;0;104;01
2019-02-08 18:38:16;0483983;219.00;0;104;09
2019-02-09 08:34:20;0483985;213.60;99960;100;09
2019-02-09 09:00:15;0483992;63.00;66779;075;07
2019-02-09 08:49:06;0483988;246.00;0;100;09
2019-02-09 08:54:15;0483990;430.35;0;100;09
2019-02-09 09:27:18;0483994;647.10;0;100;01
2019-02-09 09:32:44;0483995;54.00;39802;100;09
2019-02-09 09:33:45;0483996;71.25;0;100;10
2019-02-09 09:36:20;0483999;65.25;0;075;01
2019-02-09 09:38:24;0484002;102.00;39802;075;08
2019-02-09 09:42:45;0484004;35.75;0;100;01
2019-02-09 09:51:48;0484007;15.90;0;100;01
2019-02-21 15:32:52;0485180;48.00;0;100;01
2019-02-09 10:11:16;0484010;736.72;0;100;10
2019-02-09 10:12:28;0484011;956.50;17408;075;12
2019-02-09 10:31:46;0484015;34.20;47149;100;01
2019-02-09 10:34:26;0484016;94.50;46166;100;09
2019-02-09 10:40:41;0484019;36.00;0;100;09
2019-02-09 10:43:36;0484021;3916.50;0;104;09
2019-02-09 10:47:05;0484023;368.10;0;092;09
2019-02-09 10:49:24;0484024;64.80;0;104;01
2019-02-09 10:53:05;0484028;39.90;0;092;09
2019-02-09 10:57:56;0484030;42.75;0;092;01
2019-02-09 11:11:43;0484031;129.90;0;092;01
2019-02-09 11:15:30;0484033;185.53;0;092;01
2019-02-09 11:17:26;0484034;159.60;0;092;01
2019-02-09 11:40:07;0484038;318.00;93842;075;12
2019-02-09 11:48:49;0484040;252.00;11484;075;11
2019-02-09 12:14:44;0484045;90.00;0;092;09
2019-02-09 11:55:13;0484042;504.90;57765;092;13
2019-02-09 12:15:34;0484046;68.40;0;092;09
2019-02-09 12:33:44;0484049;321.00;42076;075;12
2019-02-09 12:42:33;0484051;28.50;0;092;10
2019-02-09 13:01:09;0484056;201.00;0;092;09
2019-02-09 13:24:29;0484058;19.95;0;092;01
